0.0000	0.5794	0.5418	0.2524	0.1278	0.4672	0.7454	0.8626	0.9514	0.9863	0.3511	0.0250	0.0911	0.7505	0.9690
0.5794	0.0000	0.8365	0.4622	0.6250	0.5611	0.9882	0.3465	0.3329	0.6633	0.4475	0.2453	0.3139	0.3611	0.9471
0.5418	0.8365	0.0000	0.1040	0.3628	0.2507	0.0985	0.5279	0.5930	0.0022	0.9800	0.5791	0.3428	0.5108	0.2329
0.2524	0.4622	0.1040	0.0000	0.1593	0.6007	0.3661	0.2864	0.5929	0.1838	0.1771	0.0206	0.3811	0.5832	0.6508
0.1278	0.6250	0.3628	0.1593	0.0000	0.6638	0.7170	0.5297	0.0008	0.3251	0.0402	0.8622	0.0117	0.9140	0.0729
0.4672	0.5611	0.2507	0.6007	0.6638	0.0000	0.6480	0.3467	0.9497	0.6152	0.8433	0.5948	0.4149	0.4180	0.2952
0.7454	0.9882	0.0985	0.3661	0.7170	0.6480	0.0000	0.9640	0.9635	0.0135	0.2225	0.8325	0.5456	0.2483	0.6261
0.8626	0.3465	0.5279	0.2864	0.5297	0.3467	0.9640	0.0000	0.6767	0.7552	0.5447	0.9949	0.6885	0.7014	0.6185
0.9514	0.3329	0.5930	0.5929	0.0008	0.9497	0.9635	0.6767	0.0000	0.9002	0.7858	0.8034	0.5623	0.4531	0.7609
0.9863	0.6633	0.0022	0.1838	0.3251	0.6152	0.0135	0.7552	0.9002	0.0000	0.5624	0.1476	0.0619	0.2073	0.2827
0.3511	0.4475	0.9800	0.1771	0.0402	0.8433	0.2225	0.5447	0.7858	0.5624	0.0000	0.0000	0.0041	0.2893	0.9236
0.0250	0.2453	0.5791	0.0206	0.8622	0.5948	0.8325	0.9949	0.8034	0.1476	0.0000	0.0000	0.0000	0.0030	0.0000
0.0911	0.3139	0.3428	0.3811	0.0117	0.4149	0.5456	0.6885	0.5623	0.0619	0.0041	0.0000	0.0000	0.0000	0.0000
0.7505	0.3611	0.5108	0.5832	0.9140	0.4180	0.2483	0.7014	0.4531	0.2073	0.2893	0.0030	0.0000	0.0000	0.0000
0.9690	0.9471	0.2329	0.6508	0.0729	0.2952	0.6261	0.6185	0.7609	0.2827	0.9236	0.0000	0.0000	0.0000	0.0000
